"No","種別","種類","レベル","言語活動","カテゴリー","第1トピック","JF Can-do (日本語)","JF Can-do (English)"
"353","JF","活動","B2","やりとり","情報交換する","仕事と職業","Can accurately report to one's superior a description of a problem and the measures one has taken, and answer one's superior's questions and receive instructions about future measures, when a problem occurs with a customer at a company workplace etc..",""
"354","JF","活動","B2","やりとり","情報交換する","仕事と職業","Can give articulate, detailed explanations and answer questions about the classes one taught, such as the content and style and the students' response, when handing over a class to a fellow teacher who is team-teaching the same class.",""
"355","JF","活動","B2","やりとり","情報交換する","仕事と職業","Can explain detailed information such as a student's personality, abilities and other points worthy of mention to the person responsible in a company that wants to recruit students, and answer questions, as the teacher in charge of job placement.",""
"356","JF","活動","B2","やりとり","情報交換する","学校と教育","Can understand a detailed explanation from a homeroom teacher about one's child's attitudes, his/her grades, his/her future plans, etc. and career path, and accurately state one's wishes as a parent while answering questions and explaining the circumstance at home, during, for example, a three-way meeting between the teacher the child and the parent",""
"357","JF","活動","B2","やりとり","情報交換する","言語と文化","Can accurately give an absent committee member detailed information such as what kind of topics were discussed, what kind of conclusions were reached and what kind of points were put on hold, as a committee member on a committee organising a local cultural exchange event.",""
"552","JF","まるごと","活動","B1","やりとり","情報交換する","今住んでいる家について、住み心地や周りの環境などの詳しい情報を友人に質問したり、質問に答えたりすることができる。",""
"358","JF","活動","B1","やりとり","情報交換する","自由時間と娯楽","Can ask for or give detailed information to a friend about the results, content, etc. of a game one is interested in, such as go and baseball.",""
"595","JF","まるごと","活動","B1","やりとり","情報交換する","演劇やショーなどについて、おすすめの演目やチケットの買い方、観劇のマナーなどの詳しい情報を、友人に質問したり、質問に答えたりすることができる。",""
"359","JF","まるごと","活動","B1","やりとり","情報交換する","取引先で、名刺を交換しながら、名前、所属、業務内容など、仕事上必要な情報などについて、ある程度詳しく自己紹介し合うことができる。",""
"360","JF","活動","B1","やりとり","情報交換する","仕事と職業","Can ask teachers questions and answer questions about detailed information such as what kind of documents one needs to prepare and by when, and what information one should provide, in correspondence between teachers belonging to an organisation taking part in a study abroad exchange.",""
"596","JF","まるごと","活動","B1","やりとり","情報交換する","交通機関などで、遅延や運休などのトラブルがあったとき、何が起こったのか、どうすればいいのかなどの詳しい情報を、困っている人に伝えたり、質問に答えたりすることができる。",""
"361","JF","活動","B1","やりとり","情報交換する","旅行と交通","Can ask for or give detailed information about recommended places or stores, for example, to someone you meet while traveling.",""
"362","JF","活動","B1","やりとり","情報交換する","健康","Can ask for or give detailed information to a friend about a neighborhood dentist, such as how he/she is with patients and his/her techniques.",""
"363","JF","活動","B1","やりとり","情報交換する","買い物","Can get detailed information from a friend who recently bought a product one wants, such as a digital camera, about its functions, design, etc.",""
"597","JF","まるごと","活動","B1","やりとり","情報交換する","日本から来る友人に、どんなお土産が欲しいか聞かれたとき、欲しい商品(浴衣や小物など)について、具体的な特徴や欲しい理由などの詳しい情報を、友人に伝えたり、質問に答えたりすることができる。",""
"364","JF","活動","B1","やりとり","情報交換する","食生活","Can ask a friend questions and answer questions concerning detailed information such as different ways of making typical food (curry etc.) that he/she knows well and one's own particular preferences.",""
"365","JF","活動","B1","やりとり","情報交換する","食生活","Can ask for or give detailed information to a friend about the local specialty of a city, such as its characteristics and the popularity of the restaurants that serve that dish.",""
"553","JF","まるごと","活動","B1","やりとり","情報交換する","友人と食事をしているとき、自宅ではどのようなものを食べているか、どこで食材を買っているかなど、食生活についての詳しい情報を質問したり、質問に答えたりすることができる。",""
"598","JF","まるごと","活動","B1","やりとり","情報交換する","ゼミの担当教員などについて、授業内容や人柄などの詳しい情報を、友人に質問したり、質問に答えたりすることができる。",""
"366","JF","活動","B1","やりとり","情報交換する","学校と教育","Can ask for or give detailed information to a friend about a cram school in the neighborhood, such as its reputation and registration processes.",""
"367","JF","活動","B1","やりとり","情報交換する","学校と教育","Can ask and answer questions asking for detailed information about the kind of problems that the learners one teaches have, the learning environment one teaches in, etc. at a teachers' workshop.",""
"368","JF","活動","B1","やりとり","情報交換する","学校と教育","Can give information and ask questions about learners, what activities have been done in class, how the course is progressing, etc. when handing over a class.",""
"369","JF","活動","B1","やりとり","情報交換する","学校と教育","Can ask teachers and students questions and answer questions about detailed information such as what kind of things students are interested in and what kind of lives they lead, when one goes on a school visit.",""
"599","JF","まるごと","活動","B1","やりとり","情報交換する","ニュースなどで話題になっている事件や事故などについて、状況や原因などの詳しい情報を、友人質問したり、質問に答えたりすることができる。",""
"370","JF","まるごと","活動","B1","やりとり","情報交換する","電子辞書など、自分が欲しいと思っている商品についてよく知っている人に、機能や使い方、デザインなどの希望を詳しく言って、必要な情報を得ることができる。",""
"371","JF","活動","A2","やりとり","情報交換する","自分と家族","Can ask a friend who has kept a pet questions and answer questions about simple information such as how one looks after the pet every day and how much money it costs each month because one is interested in keeping the same pet.",""
"514","JF","まるごと","活動","A2","やりとり","情報交換する","パーティー会場などで、離れた場所にいる人を特定するために、その人の位置や特徴などについて、友人に短い簡単な言葉で説明や質問をしたり、質問に答えたりすることができる。",""
"372","JF","まるごと","活動","A2","やりとり","情報交換する","囲碁や野球など、関心のあるゲームについて、結果や試合内容などの簡単な情報を、友人に質問したり、答えたりすることができる。",""
"515","JF","まるごと","活動","A2","やりとり","情報交換する","博物館や美術館などで、写真撮影や飲食など禁止されていることや、その理由を短い簡単な言葉で友人に伝えたり、質問したりすることができる。",""
"516","JF","まるごと","活動","A2","やりとり","情報交換する","自分の国や世界で有名な人について、どんな人か、何をした人かなどの簡単な情報を、友人に質問したり、質問に答えたりすることができる。",""
"554","JF","まるごと","活動","A2","やりとり","情報交換する","友人の結婚や転職などの最近のニュースを、短い簡単な言葉で他の友人に伝えたり、質問したりすることができる。",""
"517","JF","まるごと","活動","A2","やりとり","情報交換する","職場でのイベントについて、当日の集合場所や時間などの簡単な情報を、同僚に質問したり、質問に答えたりすることができる。",""
"373","JF","まるごと","活動","A2","やりとり","情報交換する","道に迷ったとき、目的地への行き方について、短い簡単な言葉で人に質問したり、説明したりすることができる。",""
"374","JF","活動","A2","やりとり","情報交換する","旅行と交通","Can ask a friend questions and answer questions in short simple terms about whether the custom of tipping exists or not, how much is tipped when one receives service in a hotel, etc..",""
"518","JF","まるごと","活動","A2","やりとり","情報交換する","これから行こうと思っている旅行先について、友人に、そこに行ったことがあるか、どんなところかなど、短い簡単な言葉で質問したり、質問に答えたりすることができる。",""
"519","JF","まるごと","活動","A2","やりとり","情報交換する","これから旅行に行く友人に、自分の経験や、気をつけた方がいいことについて、短い簡単な言葉で説明したり、質問に答えたりすることができる。",""
"520","JF","まるごと","活動","A2","やりとり","情報交換する","旅行を予定している観光地について、そこに行ったことがある友人に、どんな印象を持ったか、どんな交通手段で行ったかなどの簡単な情報を、短い簡単な言葉で質問したり、質問に答えたりすることができる。",""
"375","JF","活動","A2","やりとり","情報交換する","健康","Can ask for or give simple information to a friend about a neighborhood dentist, such as the location and the description of the office.",""
"521","JF","まるごと","活動","A2","やりとり","情報交換する","風邪を引いたとき、どんな薬を飲むか、どんな対処法をとっているかなどについて、友人に質問したり、質問に答えたりすることができる。",""
"376","JF","活動","A2","やりとり","情報交換する","買い物","Can get simple information from a friend who recently bought a product one wants, such as a television, about the price, the stores that sell it, etc.",""
"377","JF","活動","A2","やりとり","情報交換する","買い物","Can ask a friend questions and answer questions concerning simple information about a shop where you can buy Japanese food, such as its name, opening times and what food it sells.",""
"378","JF","活動","A2","やりとり","情報交換する","買い物","Can ask a friend questions and answer questions in short simple terms about simple information such as what 1,000 yen corresponds to and what you can buy with it.",""
"379","JF","活動","A2","やりとり","情報交換する","食生活","Can ask a friend questions and answer questions concerning simple information such as the types of ingredients used in a typical food (curry etc.) that he/she knows well.",""
"380","JF","まるごと","活動","A2","やりとり","情報交換する","郷土料理について、名前やおいしい店の場所などの簡単な情報を、友人に質問したり、答えたりすることができる。",""
"522","JF","まるごと","活動","A2","やりとり","情報交換する","レストランなどで友人に、おすすめの料理について、味や食材などの簡単な情報を、質問したり、質問に答えたりすることができる。",""
"523","JF","まるごと","活動","A2","やりとり","情報交換する","自国の料理を食べる席で、友人に、どうやって食べるのか、食べるときどんなことに気をつけたらいいかなどについて、短い簡単な言葉で質問したり、説明したりすることができる。",""
"524","JF","まるごと","活動","A2","やりとり","情報交換する","お互いの国の季節の移り変わりについて、天気、寒暖などの簡単な情報を、短い簡単な言葉で友人に質問したり、質問に答えたりすることができる。",""
"384","JF","まるごと","活動","A2","やりとり","情報交換する","お互いの国や地方の文化や習慣について、挨拶のしかたや食事の作法などの簡単な情報を、友人に質問したり、答えたりすることができる。",""
"381","JF","活動","A2","やりとり","情報交換する","学校と教育","Can ask for or give simple information to a friend about a cram school in the neighborhood, such as its courses and tuition fees.",""
"382","JF","活動","A2","やりとり","情報交換する","学校と教育","Can introduce oneself in short simple terms to classmates about one's specialty, current interests, etc. on, for example, the first day of a university class.",""
"383","JF","活動","A2","やりとり","情報交換する","学校と教育","Can ask a teacher from another country questions, and answer questions about simple information concerning education in each other's countries or institutions, such as the age children start school, how long they study for, and class size, at a teachers' workshop.",""
"385","JF","活動","A2","やりとり","情報交換する","言語と文化","Can ask a fellow learner questions and answer questions in short simple terms about intercultural experiences in Japan, differences between the culture of one's own country and Japan, etc. while showing one another one's learner portfolios.",""
"525","JF","まるごと","活動","A2","やりとり","情報交換する","今まで何語を勉強したことがあるか、その言語の何が難しく何が易しかったかなど、友人に短い簡単な言葉で質問したり、質問に答えたりすることができる。",""
"526","JF","まるごと","活動","A2","やりとり","情報交換する","正月などの特別な休暇ついて、何をするか、何を食べるかなどの簡単な情報を友人に質問したり、質問に答えたりすることができる。",""
"386","JF","活動","A1","やりとり","情報交換する","自分と家族","Can give one's date of birth when asked for it at the city hall etc. for proof of one's identity.",""
"387","JF","活動","A1","やりとり","情報交換する","住まいと住環境","Can ask a neighbor which day of the week one can dispose of a certain kind of garbage while actually showing it to the neighbor at the apartment's garbage collection site, and understand the answer if the neighbor answers slowly, clearly, and simply.",""
"388","JF","活動","A1","やりとり","情報交換する","住まいと住環境","Can ask or tell someone where in the house a member of one's host family, a roommate, etc. is at that moment.",""
"389","JF","まるごと","活動","A1","やりとり","情報交換する","友人の家で、トイレがどこかたずねたり、答えたりすることができる。",""
"390","JF","活動","A1","やりとり","情報交換する","自由時間と娯楽","Can give the price of something one is selling at a flea market when asked by a customer.",""
"391","JF","活動","A1","やりとり","情報交換する","自由時間と娯楽","Can ask a friend whether he/she has time on the weekend, or answer that when asked.",""
"392","JF","まるごと","活動","A1","やりとり","情報交換する","イベントのポスターを見ながら、イベントに行くかどうか、友人に短い簡単な言葉でたずねたり、答えたりすることができる。",""
"393","JF","活動","A1","やりとり","情報交換する","生活と人生","Can tell a member of one's host family, a roommate, etc. if one will be having dinner at home, when one will be home, etc. when going out.",""
"394","JF","活動","A1","やりとり","情報交換する","生活と人生","Can ask a member of one's host family, a roommate, etc. who is on his/her way out whether he/she has the keys, an umbrella etc., or answer that when asked.",""
"395","JF","活動","A1","やりとり","情報交換する","生活と人生","Can ask a friend for the time when one has forgotten his/her watch, or give the time when asked.",""
"396","JF","まるごと","活動","A1","やりとり","情報交換する","友人と会う日を決めるときに、次週のスケジュールを短い簡単な言葉で教え合うことができる。",""
"397","JF","まるごと","活動","A1","やりとり","情報交換する","友人と食事会などの日程を決めるときに、いつがいいか、ごく簡単な言葉でたずねたり、答えたりすることができる。",""
"398","JF","活動","A1","やりとり","情報交換する","仕事と職業","Can ask or tell someone at one's workplace where a colleague away from his/her desk is at that moment.",""
"399","JF","まるごと","活動","A1","やりとり","情報交換する","地図を指差しながら、近くにいる人に現在地や目的地がどこかたずねたり、「右に行きます」など行く方向を答えたりすることができる。",""
"400","JF","まるごと","活動","A1","やりとり","情報交換する","友人に迎えに来てもらうときに、電話で自分がいる場所を、短い簡単な言葉で伝えることができる。",""
"401","JF","活動","A1","やりとり","情報交換する","旅行と交通","Can tell a friend one is with in short simple terms such as ""I've lost my key"" and ""I don't have my key"" when one loses something valuable, for example, one's key or wallet.",""
"402","JF","活動","A1","やりとり","情報交換する","旅行と交通","Can ask the person sitting in the next seat on the train in short simple terms such as ""Where are we?"", and listen to and understand the reply when, for example, one misses one's stop.",""
"403","JF","活動","A1","やりとり","情報交換する","健康","Can say ""my stomach hurts"" ""I feel sick"" etc. in short, simple terms to a member of one's host family when one is not feeling well.",""
"404","JF","活動","A1","やりとり","情報交換する","買い物","Can ask the seller the price of something being sold at a flea market and understand the answer.",""
"405","JF","まるごと","活動","A1","やりとり","情報交換する","友人とお土産の買い物に出かけたときに、誰に何を買うかなどを短い簡単な言葉でたずねたり、答えたりすることができる。",""
"406","JF","まるごと","活動","A1","やりとり","情報交換する","友人とお土産の買い物に出かけたときに、欲しい物がどこで買えるか、短い簡単な言葉でたずねたり、答えたりすることができる。",""
"407","JF","活動","A1","やりとり","情報交換する","食生活","Can answer what food one likes and dislikes when invited to a meal.",""
"408","JF","まるごと","活動","A1","やりとり","情報交換する","一緒に外食するとき、好きな料理は何か、友人にたずねたり、答えたりすることができる。",""
"409","JF","まるごと","活動","A1","やりとり","情報交換する","一緒に外食するとき、昼ごはんをどんな店で食べるか、友人にごく簡単な言葉でたずねたり答えたりすることができる。",""
"410","JF","活動","A1","やりとり","情報交換する","人との関係","Can ask or tell a friend what he/she wants for his/her next birthday.",""
"411","JF","活動","A1","やりとり","情報交換する","人との関係","Can exchange phone numbers with someone who one just become friends with.",""
"412","JF","まるごと","活動","A1","やりとり","情報交換する","新しく入った同僚やクラスメートなどに、何語が話せるかたずねたり、答えたりすることができる。",""
"413","JF","活動","A1","やりとり","情報交換する","学校と教育","Can tell the teacher that a friend will be absent from class today.",""
"414","JF","活動","A1","やりとり","情報交換する","学校と教育","Can ask or tell a classmate the next day's timetable.",""
"415","JF","まるごと","活動","A1","やりとり","情報交換する","日本語の授業で出欠をとるときなどに、自分の名前が呼ばれたら、「はい」と返事をし、欠席の人の名前には「いません」などと答えることができる。",""
"416","JF","活動","B2","やりとり","インタビューする/受ける","食生活","Can interview people of varying age groups, change one's prepared questions in response to interesting answers and ask questions that elicit even more interesting answers about, for example, the relationship between meals and social awareness about close-knit families, for one's university class, etc.",""
"417","JF","活動","B2","やりとり","インタビューする/受ける","自然と環境","Can interview someone with a different lifestyle, respond to his/her replies with prepared follow-up questions and elicit interesting replies, in order to conduct a survey about disaster awareness and preparations, for a class project, etc..",""
"418","JF","活動","B2","やりとり","インタビューする/受ける","言語と文化","Can accurately say what one thinks is unusual about Japan, including one's own interpretations of intercultural experiences, and develop what one says, using oneself as the focus, when interviewed for a talk show, etc. with a theme such as ""Things that Foreigners Find Unusual about Japan"".",""
"419","JF","活動","B2","やりとり","インタビューする/受ける","科学技術","Can take the initiative in developing the conversatiod talk about, for example, the events that led to a hit product's development and the difficulties faced along the way, when being interviewed by a magazine, etc. as the developer of the product.",""
"420","JF","活動","B1","やりとり","インタビューする/受ける","仕事と職業","Can promote oneself and answer questions in some detail about why one wants the job, for example, at a job interview.",""
"421","JF","活動","B1","やりとり","インタビューする/受ける","仕事と職業","Can ask questions one has prepared about what one wants to know, such as job descriptions and the workplace environment, to someone already employed at a company where one wants to work, and can understand the answers, confirm facts, and ask follow-up questions.",""
"422","JF","活動","B1","やりとり","インタビューする/受ける","仕事と職業","Can ask questions to a new staff member about him/herself, his/her family, hobbies, etc., understand the answers, and ask further questions to confirm facts or continue the conversation, in order to write an article based on an interview for an in-house newsletter or other media.",""
"423","JF","活動","B1","やりとり","インタビューする/受ける","健康","Can answer with some accuracy questions about one's symptoms, past illnesses, etc. at a hospital or other facilities, and depending on the content take the initiative in developing the conversation.",""
"424","JF","活動","B1","やりとり","インタビューする/受ける","言語と文化","Can ask a Japanese person living in one's country questions one has prepared about customs that are different to those in Japan, things that cause difficulties etc., listen to his/her answers and check information, and then ask follow-up questions in order to produce ""A Manual for Daily Life Aimed at Japanese People"".",""
"425","JF","活動","B1","やりとり","インタビューする/受ける","社会","Can provide information and, with a certain degree of accuracy, answer questions related to the circumstances surrounding an accident when asked questions by the police as a witness to a traffic accident.",""
"426","JF","活動","A2","やりとり","インタビューする/受ける","仕事と職業","Can answer in short simple terms simple questions about one's work history, work requirements etc., at a job interview, for example, if one can occasionally ask for repetition or explanation.",""
"427","JF","活動","A2","やりとり","インタビューする/受ける","仕事と職業","Can ask short simple questions to a new staff member about him/herself, his/her family, hobbies, etc. and handle simple answers, in order to write a short piece about that person for an in-house newsletter or other media.",""
"428","JF","活動","A2","やりとり","インタビューする/受ける","健康","Can answer in short simple terms simple questions, such as what hurts and how much, at a hospital or other facilities, if one can occasionally ask for repetition or explanation.",""
"429","JF","活動","A2","やりとり","インタビューする/受ける","学校と教育","Can answer in short simple terms simple questions such as how one's performance was and how much one practised, in an interview after taking part in a contest or game.",""
"430","JF","活動","A2","やりとり","インタビューする/受ける","学校と教育","Can ask teachers and students at the school one is visiting short simple prepared questions and respond to their answers in order to write an article introducing the school in a newsletter for teachers.",""
"431","JF","活動","A1","やりとり","インタビューする/受ける","生活と人生","Can answer in very simple terms when asked very basic questions such as which country one is from and whether one is carrying one's passport, by a policeman in a train station, park, etc.",""
"432","JF","活動","A1","やりとり","インタビューする/受ける","仕事と職業","Can answer very basic questions such as one's name, hometown, and what one likes, for an article introducing a new staff member in an in-house newsletter, for example, if the speech is slow and clear.",""
"433","JF","活動","A1","やりとり","インタビューする/受ける","旅行と交通","Can answer in very simple terms such as ""Sightseeing"" when asked, for example, one's reason for visiting Japan, at airport immigration.",""
"434","JF","活動","A1","やりとり","インタビューする/受ける","健康","Can answer whether something hurts or doesn't hurt during an examination by touch in a hospital examination room.",""
"435","JF","活動","B2","やりとり","手紙やメールのやりとりをする","生活と人生","Can write a congratulatory letter in response to a friend's birth announcement, stating in detail how one thinks about parenting based on one's own experience, while expressing one's happiness and feelings of concern for the friend's health, circumstances, etc.",""
"436","JF","活動","B2","やりとり","手紙やメールのやりとりをする","仕事と職業","Can articulately explain in an e-mail about, for example, the possbile changes and alternative plans, in response to a sudden request for changes in an overseas business trip plan, etc., as an employee of a travel agency.",""
"437","JF","活動","B2","やりとり","手紙やメールのやりとりをする","旅行と交通","Can write a detailed letter or e-mail to a friend, emphasizing how different the area one travelled to is from one's prior impressions, about events that occurred and thoughts one had during a trip.",""
"600","JF","まるごと","活動","B1","やりとり","手紙やメールのやりとりをする","参加したいサークルなどのメンバー募集の案内について、詳しい情報を得るために、自分の都合などを説明しながら、問い合わせのメールを書くことができる。",""
"601","JF","まるごと","活動","B1","やりとり","手紙やメールのやりとりをする","友人をイベントなどに誘うとき、イベントの内容や魅力などを簡単に紹介しながら、誘いのメールを書くことができる。",""
"438","JF","まるごと","活動","B1","やりとり","手紙やメールのやりとりをする","自分の出身地への旅行を計画している人に、名所や名物などについて、ある程度詳しく手紙やメールなどを書くことができる。",""
"602","JF","まるごと","活動","B1","やりとり","手紙やメールのやりとりをする","宿泊予定のホテルや旅館に、自分の希望や都合などを伝えながら、食事や部屋、設備などについて、問い合わせのメールを書くことができる。",""
"603","JF","まるごと","活動","B1","やりとり","手紙やメールのやりとりをする","ネットショッピングなどで購入した商品が壊れていたり説明と違っていたりしたとき、状況をある程度詳しく説明し、商品の返品や交換を求めるクレームのメールを書くことができる。",""
"439","JF","まるごと","活動","B1","やりとり","手紙やメールのやりとりをする","お世話になった人に、感謝の気持ちや近況などについて、ある程度詳しくお礼の手紙やメールなどを書くことができる。",""
"604","JF","まるごと","活動","B1","やりとり","手紙やメールのやりとりをする","友人に、パーティーなどで引き合わせる予定の相手について、人柄や好みなどを、ある程度詳しく紹介するメールを書くことができる。",""
"440","JF","活動","B1","やりとり","手紙やメールのやりとりをする","言語と文化","Can write in some detail a letter, e-mail, etc. to one's family and friends about events one experiences and thoughts one had during a homestay.",""
"527","JF","まるごと","活動","A2","やりとり","手紙やメールのやりとりをする","サイトに載せられた名前や趣味などの自己紹介に対して、感想や質問などを短い簡単な文で書き込むことができる。",""
"441","JF","活動","A2","やりとり","手紙やメールのやりとりをする","旅行と交通","Can write in short simple sentences a letter, e-mail, etc. to one's family and friends about, for example, places one visited, while traveling.",""
"442","JF","活動","A2","やりとり","手紙やメールのやりとりをする","人との関係","Can write in short simple sentences a letter, e-mail, etc. to thank someone for their help or hospitality.",""
"528","JF","まるごと","活動","A2","やりとり","手紙やメールのやりとりをする","結婚する友人へのメッセージカードや寄せ書きなどに、短い簡単な文で、お祝いの気持ちを表すメッセージを書くことができる。",""
"443","JF","活動","A2","やりとり","手紙やメールのやりとりをする","言語と文化","Can write in short simple sentences a letter, e-mail, etc. to one's family and friends about, for example, events that occurred during a homestay.",""
"444","JF","まるごと","活動","A1","やりとり","手紙やメールのやりとりをする","モデル文があれば、友人に「あそびに来てください」など短い簡単な言葉で、自宅に誘うメールを書くことができる。",""
"445","JF","活動","A1","やりとり","手紙やメールのやりとりをする","人との関係","Can write simple and fixed messages such as ""thank you for your kindness"" ""thank you"" on a card to thank someone for their help or hospitality.",""
"446","JF","まるごと","活動","A1","やりとり","手紙やメールのやりとりをする","友人への年賀状や誕生日カードに、「あけましておめでとうございます」「お誕生日おめでとうございます」など、定型の簡単なメッセージを書くことができる。",""
"447","JF","活動","B1","やりとり","申請書類や伝言を書く","自然と環境","Can mostly understand and write answers to questions on a general survey about attitudes on environmental issues, if one can confirm things as needed.",""
"529","JF","まるごと","活動","A2","やりとり","申請書類や伝言を書く","ボランティアなどの申請書類に、仕事内容についての希望や、自分ができることなどを、短い簡単な文で書くことができる。",""
"530","JF","まるごと","活動","A2","やりとり","申請書類や伝言を書く","自分の生活習慣に関する選択式などの簡単なアンケート調査の質問を理解し、答えを書くことができる。",""
"448","JF","活動","A2","やりとり","申請書類や伝言を書く","食生活","Can write in short simple sentences one's wishes, impressions, etc. about such topics as the menu or the taste of the food, on a form to put in a suggestion box found in, for example, a company or university cafeteria.",""
"531","JF","まるごと","活動","A2","やりとり","申請書類や伝言を書く","パーティーに持ち寄る食べ物や飲み物の分担を友人に知らせるために、短い簡単なメモを書くことができる。",""
"449","JF","活動","A2","やりとり","申請書類や伝言を書く","自然と環境","Can understand and write answers to questions on a simple, yes-no type survey about attitudes on familiar environmental issues or other topics.",""
"450","JF","活動","A1","やりとり","申請書類や伝言を書く","自分と家族","Can write on a calendar when one will do what, in order to let one's family or roommate know about one's plans.",""
"451","JF","活動","A1","やりとり","申請書類や伝言を書く","仕事と職業","Can write in simple terms one's plans, such as where one will be and when one will be back, on, for example, a message board at the workplace.",""
"452","JF","活動","A1","やりとり","申請書類や伝言を書く","仕事と職業","Can write a simple note about, for example, how many copies are needed by what time, to ask someone to copy some papers at work.",""
"453","JF","活動","A1","やりとり","申請書類や伝言を書く","旅行と交通","Can write on an immigration form, a hotel registration form, etc. basic information about oneself such as one's name, address and nationality.",""
"454","JF","活動","A1","やりとり","申請書類や伝言を書く","学校と教育","Can write on, for example, an answer sheet for an exam, one's name and identification number.",""
"455","JF","まるごと","活動","A1","やりとり","申請書類や伝言を書く","自己紹介の場で、名札などに自分の国、自分の名前を日本語で書くことができる。",""
"532","JF","まるごと","活動","A1","やりとり","申請書類や伝言を書く","語学学校の申込書やポートフォリオなどに、自分がいつどんな外国語を勉強したか、短い簡単な文で書くことができる。",""
